rel_alt,local_z,gps_z_filtered
0.027,-0.08181101828813553,0.0
0.039,-0.07054618746042252,0.04000017790261268
0.055,-0.054044563323259354,0.14000081387979435
0.08,-0.028959881514310837,0.20000060934148678
0.108,-0.0015028741909191012,0.25000071161062465
0.138,0.028303897008299828,0.40000020026491256
0.175,0.06200322136282921,0.4500004804368132
0.215,0.10618999600410461,0.4100007872441722
0.241,0.13219748437404633,0.41000071161062124
0.261,0.15153978765010834,0.4600007116106326
0.271,0.161317378282547,0.500000889513359
0.275,0.16534806787967682,0.5000010674160649
0.269,0.15991489589214325,0.560001271954377
0.26,0.15140753984451294,0.6000015521262583
0.253,0.1435602903366089,0.5800018589337981
0.235,0.1253490000963211,0.5500018855695146
0.211,0.101163350045681,0.6000016053976083
0.189,0.07863619923591614,0.620001783300296
0.164,0.05563919246196747,0.6700016810310956
0.147,0.03700259327888489,0.7400012985900162
0.131,0.0213632732629776,0.780001018418119
0.146,0.036104604601860046,0.840000813879783
0.227,0.11747277528047562,0.9400002535360557
0.349,0.23155920207500458,1.2899997464639625
0.506,0.39698970317840576,1.449999417294805
0.658,0.5492464900016785,1.6099992393922662
0.804,0.694080650806427,1.8999981677027051
0.909,0.7987550497055054,2.1399973495493043
0.972,0.8674908876419067,2.259997145011056
0.962,0.8512949347496033,2.289997936528465
0.885,0.7738459706306458,2.319998470236186
0.823,0.7209257483482361,2.37999739854709
0.8,0.6890469193458557,2.3499963801293973
0.83,0.7280946969985962,2.5299945925573013
0.92,0.8101062178611755,2.669992657991912
1.033,0.9231312274932861,2.7799916438490584
1.132,1.0211551189422607,3.0799889976768497
1.23,1.1191219091415405,3.2199883702549243
1.307,1.2050303220748901,3.3599877385586865
1.389,1.277739405632019,3.4799878184702777
1.456,1.345098614692688,3.5899886856207672
1.512,1.4011828899383545,3.7899884810818207
1.587,1.4750763177871704,3.8299893482324308
3.966,3.8572299480438232,4.08999069581364
3.9,3.7884504795074463,4.0099914116999855
3.708,3.5961310863494873,3.669993479448152
3.478,3.3662002086639404,3.2499947556779887
3.265,3.1511974334716797,2.9999941953354323
3.089,2.9782819747924805,2.6599947066837046
2.95,2.839383125305176,2.349996058546054
2.845,2.7415449619293213,2.169997432765115
2.754,2.644435405731201,2.019998220004112
2.671,2.5578107833862305,1.7699988293418016
2.612,2.5029540061950684,1.5699979536322815
2.584,2.475017786026001,1.5499973623751657
2.58,2.4711644649505615,1.3899979717147914
2.573,2.4635753631591797,1.2099984745103427
2.557,2.4456045627593994,1.0799975231786618
2.528,2.418785810470581,0.8199976169040042
2.497,2.3924741744995117,0.6799968434828259
2.453,2.3438401222229004,0.44999591879653167
2.42,2.311091661453247,0.329993490985089
2.389,2.2771129608154297,0.13999065836810587
2.353,2.2437193393707275,0.07998721214363513
2.306,2.197366714477539,-0.07002069018821544
2.268,2.1587624549865723,-0.0700248437549078
2.223,2.11373233795166,-0.030029250856983936
2.186,2.077153444290161,-3.2839812064366924e-05
2.173,2.064221143722534,0.05996574123270193
2.163,2.053670644760132,0.03996531832976302
2.134,2.0257511138916016,0.03996535350489694
2.107,1.9997104406356812,0.0399668651700722
2.084,1.9734177589416504,0.07996921735025353
2.084,1.9753895998001099,0.11997675006449526
2.076,1.9656260013580322,0.23998169942549907
2.08,1.9705883264541626,0.24998647089009296
2.082,1.972618579864502,0.3199913403481105
2.073,1.9635871648788452,0.3699964590631737
2.057,1.9474629163742065,0.4300012709742589
2.035,1.9247781038284302,0.4400047086677432
2.003,1.8933439254760742,0.40000638969897295
1.962,1.8514410257339478,0.36000824863310754
1.917,1.8073607683181763,0.4500096675767793
1.87,1.7595628499984741,0.19001297209706536
1.805,1.6951146125793457,0.19001222530349082
1.745,1.6349897384643555,0.19001033545930568
1.676,1.5658515691757202,0.12000798754084485
1.591,1.4777765274047852,0.1800052795478848
1.494,1.3898690938949585,0.1000037231491433
1.393,1.2831060886383057,0.030001477503759588
1.319,1.2094782590866089,-0.01000084377514554
1.289,1.1797435283660889,0.049996505774345223
1.294,1.1853867769241333,0.34998983065233347
1.308,1.1986773014068604,0.37998766491418223
1.32,1.2085005044937134,0.3899859838853672
1.317,1.2087372541427612,0.4499844317598729
1.306,1.1965221166610718,0.5699815277785376
1.283,1.1736243963241577,0.5399802824603626
1.254,1.1438004970550537,0.5499799532900909
1.209,1.0986173152923584,0.44998112724420025
1.169,1.0592710971832275,0.5099819677576249
1.129,1.0224984884262085,0.5099839822258048
1.096,0.9870626330375671,0.3599868372087087
1.054,0.9433797001838684,0.060006017795757316
0.996,0.896310567855835,1.1238802557045346e-05
0.887,0.776576042175293,-0.21998842775639105
0.828,0.7262653708457947,-0.21998842775639105
0.828,0.7262653708457947,-0.21998842775639105
0.828,0.7262653708457947,-0.21998842775639105
0.828,0.7262653708457947,-0.21998842775639105
0.828,0.7262653708457947,-0.21998842775639105
0.828,0.7262653708457947,-0.21998842775639105
0.828,0.7262653708457947,-0.21998842775639105
0.828,0.7262653708457947,-0.21998842775639105
0.828,0.7262653708457947,-0.21998842775639105
0.828,0.7262653708457947,-0.21998842775639105
